County,City,Model_Year,Make,Model,EV_Type,CAFV_Eligibility,Electric_Range,Electric_Utility,Vehicle_Age,Has_Range_Data,Has_MSRP
King,Burien,2019,Tesla,Model X,BEV,Eligible,289.0,City Of Seattle - (Wa),6,1,0
King,Bellevue,2018,Nissan,Leaf,BEV,Eligible,151.0,Puget Sound Energy Inc,7,1,0
King,Seattle,2022,Ford,Mustang Mach-E,BEV,Unknown,,City Of Seattle - (Wa),3,0,0
King,Kent,2023,Nissan,Ariya,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Snohomish,Lynnwood,2022,Bmw,X5,PHEV,Eligible,30.0,Puget Sound Energy Inc,3,1,0
King,Newcastle,2022,Polestar,Ps2,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Burien,2022,Bmw,X5,PHEV,Eligible,30.0,City Of Seattle - (Wa),3,1,0
King,Seattle,2018,Tesla,Model 3,BEV,Eligible,215.0,City Of Seattle - (Wa),7,1,0
King,Kent,2023,Lexus,Rz,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Kitsap,Bainbridge Island,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Snohomish,Lake Stevens,2024,Volkswagen,Id.4,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2025,Jeep,Wagoneer S,BEV,Unknown,,City Of Seattle - (Wa),0,0,0
King,Issaquah,2023,Chevrolet,Bolt Euv,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2023,Rivian,R1S,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Burien,2022,Ford,Mustang Mach-E,BEV,Unknown,,City Of Seattle - (Wa),3,0,0
Snohomish,Lynnwood,2024,Hyundai,Kona,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Renton,2018,Kia,Soul,BEV,Eligible,111.0,Puget Sound Energy Inc,7,1,1
Kitsap,Bainbridge Island,2021,Chrysler,Pacifica,PHEV,Eligible,32.0,No Known Electric Utility Service,4,1,0
King,Kirkland,2023,Hyundai,Tucson,PHEV,Eligible,33.0,Puget Sound Energy Inc,2,1,0
King,Seattle,2023,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seatac,2024,Hyundai,Ioniq 6,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Kirkland,2024,Chevrolet,Equinox,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2025,Chevrolet,Blazer,BEV,Unknown,,City Of Seattle - (Wa),0,0,0
King,Newcastle,2019,Volkswagen,E-Golf,BEV,Eligible,125.0,Puget Sound Energy Inc,6,1,0
King,Kirkland,2024,Jeep,Wrangler,PHEV,Not Eligible,21.0,Puget Sound Energy Inc,1,1,0
Clark,Vancouver,2020,Nissan,Leaf,BEV,Eligible,215.0,Bonneville Power Administration,5,1,0
King,Renton,2020,Tesla,Model 3,BEV,Eligible,308.0,Puget Sound Energy Inc,5,1,0
King,Bellevue,2023,Rivian,R1S,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Kent,2025,Bmw,X5,PHEV,Eligible,40.0,Puget Sound Energy Inc,0,1,0
King,Bellevue,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Kirkland,2019,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,6,1,0
King,Kirkland,2017,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,8,1,0
King,Renton,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Seattle,2017,Toyota,Prius Prime (Phev),PHEV,Not Eligible,25.0,City Of Seattle - (Wa),8,1,0
Clark,Vancouver,2021,Volkswagen,Id.4,BEV,Unknown,,Bonneville Power Administration,4,0,0
King,Kirkland,2021,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
King,Bellevue,2023,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2023,Chevrolet,Bolt Euv,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Des Moines,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
King,Burien,2024,Lexus,Nx,PHEV,Eligible,37.0,City Of Seattle - (Wa),1,1,0
King,Issaquah,2024,Audi,Q8,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Kenmore,2017,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,8,1,0
King,Seattle,2022,Toyota,Rav4 Prime (Phev),PHEV,Eligible,42.0,City Of Seattle - (Wa),3,1,0
King,Kent,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Seattle,2023,Mercedes-Benz,Eqe-Class Suv,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
Clark,Vancouver,2023,Subaru,Solterra,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Redmond,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Bothell,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Clark,Vancouver,2020,Chevrolet,Bolt Ev,BEV,Eligible,259.0,Bonneville Power Administration,5,1,0
King,Kent,2022,Ford,Transit,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Redmond,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2019,Nissan,Leaf,BEV,Eligible,150.0,City Of Seattle - (Wa),6,1,0
King,Seattle,2021,Tesla,Model 3,BEV,Unknown,,City Of Seattle - (Wa),4,0,0
King,Woodinville,2024,Tesla,Model X,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Woodinville,2022,Jeep,Grand Cherokee,PHEV,Not Eligible,25.0,Puget Sound Energy Inc,3,1,0
Jefferson,Port Townsend,2023,Chevrolet,Bolt Ev,BEV,Unknown,,Bonneville Power Administration,2,0,0
Island,Oak Harbor,2024,Chevrolet,Equinox,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Auburn,2022,Toyota,Prius Prime (Phev),PHEV,Not Eligible,25.0,Puget Sound Energy Inc,3,1,0
Thurston,Olympia,2023,Ford,Mustang Mach-E,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Kirkland,2024,Mazda,Cx-90,PHEV,Not Eligible,26.0,Puget Sound Energy Inc,1,1,0
King,Bellevue,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Clark,Vancouver,2021,Toyota,Prius Prime (Phev),PHEV,Not Eligible,25.0,Bonneville Power Administration,4,1,0
Clark,Vancouver,2024,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,1,0,0
King,Kent,2024,Nissan,Ariya,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Redmond,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Kirkland,2024,Kia,Ev9,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Thurston,Rainier,2022,Volvo,Xc40,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Kirkland,2025,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Thurston,Tenino,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2021,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),4,0,0
King,Bellevue,2024,Mazda,Cx-90,PHEV,Not Eligible,26.0,Puget Sound Energy Inc,1,1,0
King,Redmond,2025,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Island,Oak Harbor,2023,Lincoln,Corsair,PHEV,Not Eligible,28.0,Puget Sound Energy Inc,2,1,0
King,Bellevue,2025,Bmw,I5,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Auburn,2022,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Seattle,2023,Chevrolet,Bolt Euv,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Seattle,2015,Tesla,Model S,BEV,Eligible,208.0,City Of Seattle - (Wa),10,1,0
King,Renton,2019,Kia,Niro,BEV,Eligible,239.0,Puget Sound Energy Inc,6,1,0
King,Seattle,2025,Rivian,R1S,BEV,Unknown,,City Of Seattle - (Wa),0,0,0
Clark,Vancouver,2022,Tesla,Model 3,BEV,Unknown,,Bonneville Power Administration,3,0,0
King,Seattle,2017,Chevrolet,Bolt Ev,BEV,Eligible,238.0,City Of Seattle - (Wa),8,1,0
King,Kent,2026,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Seattle,2023,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Kent,2021,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
King,Kirkland,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2023,Tesla,Model X,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Bellevue,2023,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2023,Chevrolet,Bolt Euv,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2025,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Shoreline,2024,Ford,Transit,BEV,Unknown,,City Of Seattle - (Wa),1,0,0
King,Bellevue,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Bellevue,2022,Bmw,X5,PHEV,Eligible,30.0,Puget Sound Energy Inc,3,1,0
King,Bellevue,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Clark,Vancouver,2023,Ford,Mustang Mach-E,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Kirkland,2024,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Cowlitz,Kelso,2023,Volkswagen,Id.4,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Seatac,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Kent,2023,Nissan,Leaf,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2023,Hyundai,Kona,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Newcastle,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
King,Kirkland,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2025,Volvo,Xc90,PHEV,Eligible,32.0,City Of Seattle - (Wa),0,1,0
Clark,Vancouver,2024,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,1,0,0
King,Seattle,2023,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
Kitsap,Bremerton,2023,Nissan,Ariya,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bothell,2025,Rivian,R1S,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Clark,Vancouver,2023,Volkswagen,Id.4,BEV,Unknown,,Bonneville Power Administration,2,0,0
Clark,Ridgefield,2021,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,4,0,0
King,Kirkland,2025,Porsche,Taycan,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Bellevue,2023,Hyundai,Ioniq 5,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Clark,Vancouver,2017,Nissan,Leaf,BEV,Eligible,107.0,Bonneville Power Administration,8,1,0
King,Lake Forest Park,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2022,Chevrolet,Bolt Euv,BEV,Unknown,,City Of Seattle - (Wa),3,0,0
King,Kirkland,2025,Bmw,X5,PHEV,Eligible,40.0,Puget Sound Energy Inc,0,1,0
King,Issaquah,2024,Volvo,Xc60,PHEV,Eligible,35.0,Puget Sound Energy Inc,1,1,0
King,Redmond,2024,Kia,Ev6,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2018,Chrysler,Pacifica,PHEV,Eligible,33.0,City Of Seattle - (Wa),7,1,0
King,Issaquah,2023,Bmw,I4,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2023,Ford,Mustang Mach-E,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
Clark,Vancouver,2025,Tesla,Model 3,BEV,Unknown,,Bonneville Power Administration,0,0,0
King,Seattle,2023,Chevrolet,Bolt Euv,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Renton,2025,Kia,Sportage,PHEV,Eligible,34.0,Puget Sound Energy Inc,0,1,0
Clark,Vancouver,2024,Tesla,Model 3,BEV,Unknown,,Bonneville Power Administration,1,0,0
King,Seattle,2024,Audi,Q8,BEV,Unknown,,City Of Seattle - (Wa),1,0,0
King,Kent,2023,Lexus,Rz,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2023,Chevrolet,Bolt Euv,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Kirkland,2024,Kia,Ev9,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Clark,Vancouver,2023,Toyota,Bz4X,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Renton,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
King,Redmond,2022,Kia,Niro,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Clark,Vancouver,2025,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,0,0,0
Clark,Vancouver,2023,Ford,Mustang Mach-E,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Renton,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Snohomish,Everett,2017,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,8,1,0
King,Renton,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Kitsap,Bainbridge Island,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2025,Rivian,R1S,BEV,Unknown,,City Of Seattle - (Wa),0,0,0
King,Kirkland,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Kirkland,2024,Volvo,Xc60,PHEV,Eligible,35.0,Puget Sound Energy Inc,1,1,0
King,Bothell,2023,Chevrolet,Bolt Euv,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Thurston,Olympia,2023,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2022,Rivian,R1T,BEV,Unknown,,City Of Seattle - (Wa),3,0,0
King,Bellevue,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Kirkland,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2020,Tesla,Model Y,BEV,Eligible,291.0,City Of Seattle - (Wa),5,1,0
Clark,Vancouver,2024,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,1,0,0
Clark,Vancouver,2021,Chrysler,Pacifica,PHEV,Eligible,32.0,Bonneville Power Administration,4,1,0
King,Bothell,2022,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Kirkland,2023,Volkswagen,Id.4,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Clark,Vancouver,2017,Toyota,Prius Prime (Phev),PHEV,Not Eligible,25.0,Bonneville Power Administration,8,1,0
Thurston,Yelm,2024,Chevrolet,Equinox,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Renton,2025,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Seattle,2024,Kia,Ev6,BEV,Unknown,,City Of Seattle - (Wa),1,0,0
Clark,Vancouver,2019,Tesla,Model 3,BEV,Eligible,220.0,Bonneville Power Administration,6,1,0
Snohomish,Lynnwood,2020,Audi,Q5 E,PHEV,Not Eligible,20.0,Puget Sound Energy Inc,5,1,0
Clark,Vancouver,2024,Subaru,Solterra,BEV,Unknown,,Bonneville Power Administration,1,0,0
King,Kirkland,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Kirkland,2021,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
King,Kirkland,2024,Tesla,Model X,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Snohomish,Everett,2024,Rivian,R1S,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Kitsap,Silverdale,2024,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Kent,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2025,Lucid,Air,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Renton,2025,Volvo,Ex30,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Seattle,2025,Honda,Prologue,BEV,Unknown,,City Of Seattle - (Wa),0,0,0
King,Seattle,2025,Volvo,Xc90,PHEV,Eligible,32.0,City Of Seattle - (Wa),0,1,0
King,Bellevue,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Clark,Vancouver,2017,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Bonneville Power Administration,8,1,0
King,Redmond,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,7,1,0
King,Bellevue,2024,Bmw,I4,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Snohomish,Everett,2021,Chrysler,Pacifica,PHEV,Eligible,32.0,Puget Sound Energy Inc,4,1,0
Clark,Camas,2020,Tesla,Model Y,BEV,Eligible,291.0,Bonneville Power Administration,5,1,0
Clark,Vancouver,2024,Kia,Ev9,BEV,Unknown,,Bonneville Power Administration,1,0,0
King,Seattle,2020,Tesla,Model 3,BEV,Eligible,322.0,City Of Seattle - (Wa),5,1,0
King,Seattle,2023,Chevrolet,Bolt Ev,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Redmond,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Bellevue,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Seattle,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,City Of Seattle - (Wa),7,1,0
Thurston,Olympia,2021,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
King,Kirkland,2023,Bmw,X5,PHEV,Eligible,30.0,Puget Sound Energy Inc,2,1,0
Clark,Vancouver,2014,Toyota,Rav4,BEV,Eligible,103.0,Bonneville Power Administration,11,1,0
Clark,Vancouver,2025,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,0,0,0
King,Seattle,2022,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Seattle,2021,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),4,0,0
King,Seattle,2024,Hyundai,Ioniq 5,BEV,Unknown,,City Of Seattle - (Wa),1,0,0
King,Kirkland,2022,Kia,Niro,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Clark,Vancouver,2022,Toyota,Rav4 Prime (Phev),PHEV,Eligible,42.0,Bonneville Power Administration,3,1,0
King,Redmond,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Redmond,2023,Bmw,X5,PHEV,Eligible,30.0,Puget Sound Energy Inc,2,1,0
King,Redmond,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Shoreline,2022,Nissan,Leaf,BEV,Unknown,,City Of Seattle - (Wa),3,0,0
King,Seattle,2023,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Seattle,2024,Bmw,X5,PHEV,Eligible,39.0,City Of Seattle - (Wa),1,1,0
King,Shoreline,2017,Nissan,Leaf,BEV,Eligible,107.0,City Of Seattle - (Wa),8,1,0
Clark,Camas,2023,Hyundai,Ioniq 5,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Bellevue,2025,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Clark,Vancouver,2023,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,2,0,0
Kitsap,Port Orchard,2024,Ford,Escape,PHEV,Eligible,37.0,Puget Sound Energy Inc,1,1,0
King,Burien,2023,Hyundai,Kona,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
Clark,Vancouver,2016,Tesla,Model X,BEV,Eligible,200.0,Bonneville Power Administration,9,1,0
Clark,Vancouver,2023,Nissan,Ariya,BEV,Unknown,,Bonneville Power Administration,2,0,0
Snohomish,Mukilteo,2025,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Clark,Vancouver,2019,Tesla,Model 3,BEV,Eligible,220.0,Bonneville Power Administration,6,1,0
King,Bellevue,2024,Audi,Q8,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Renton,2024,Mercedes-Benz,Eqb-Class,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2025,Mazda,Cx-70,PHEV,Not Eligible,26.0,City Of Seattle - (Wa),0,1,0
King,Seattle,2023,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
Snohomish,Stanwood,2024,Jeep,Wrangler,PHEV,Not Eligible,21.0,Bonneville Power Administration,1,1,0
Clark,Vancouver,2023,Tesla,Model 3,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Redmond,2023,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Clark,Vancouver,2025,Subaru,Solterra,BEV,Unknown,,Bonneville Power Administration,0,0,0
King,Seattle,2024,Audi,Q8,BEV,Unknown,,City Of Seattle - (Wa),1,0,0
King,Seattle,2023,Kia,Ev6,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Renton,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Kent,2024,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2024,Rivian,R1S,BEV,Unknown,,City Of Seattle - (Wa),1,0,0
King,Kirkland,2024,Genesis,Gv70,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Auburn,2021,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
King,Renton,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Tukwila,2024,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),1,0,0
King,Bellevue,2020,Chevrolet,Bolt Ev,BEV,Eligible,259.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2023,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Seattle,2023,Chrysler,Pacifica,PHEV,Eligible,32.0,City Of Seattle - (Wa),2,1,0
King,Seattle,2023,Toyota,Rav4 Prime (Phev),PHEV,Eligible,42.0,City Of Seattle - (Wa),2,1,0
King,Seatac,2016,Tesla,Model X,BEV,Eligible,200.0,City Of Seattle - (Wa),9,1,0
King,Seattle,2024,Hyundai,Tucson,PHEV,Eligible,33.0,City Of Seattle - (Wa),1,1,0
King,Kirkland,2023,Volvo,Xc40,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Kirkland,2025,Jeep,Wrangler,PHEV,Not Eligible,21.0,Puget Sound Energy Inc,0,1,0
Clark,Vancouver,2018,Tesla,Model 3,BEV,Eligible,215.0,Bonneville Power Administration,7,1,0
King,Kirkland,2022,Chevrolet,Bolt Ev,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Redmond,2024,Tesla,Model X,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2017,Chevrolet,Bolt Ev,BEV,Eligible,238.0,City Of Seattle - (Wa),8,1,0
King,Bellevue,2025,Bmw,X5,PHEV,Eligible,40.0,Puget Sound Energy Inc,0,1,0
King,Kirkland,2024,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Clark,Vancouver,2022,Kia,Sorento,PHEV,Eligible,32.0,Bonneville Power Administration,3,1,0
King,Seattle,2023,Bmw,Ix,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Bellevue,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Bothell,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Sammamish,2025,Rivian,R1S,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Tukwila,2022,Ford,Transit,BEV,Unknown,,City Of Seattle - (Wa),3,0,0
King,Seattle,2018,Bmw,I3,BEV,Eligible,114.0,City Of Seattle - (Wa),7,1,0
King,Bellevue,2021,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
King,Bothell,2024,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Newcastle,2023,Mercedes-Benz,Eqb-Class,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Renton,2023,Hyundai,Ioniq 5,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Clark,La Center,2022,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,3,0,0
Clark,Ridgefield,2023,Chevrolet,Bolt Euv,BEV,Unknown,,Bonneville Power Administration,2,0,0
Clark,Brush Prairie,2023,Rivian,R1S,BEV,Unknown,,Bonneville Power Administration,2,0,0
King,Bellevue,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Bellevue,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2020,Kia,Niro,BEV,Eligible,239.0,City Of Seattle - (Wa),5,1,0
King,Seattle,2018,Chrysler,Pacifica,PHEV,Eligible,33.0,City Of Seattle - (Wa),7,1,0
King,Seattle,2021,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),4,0,0
King,Kent,2024,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Woodinville,2024,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
King,Seattle,2022,Tesla,Model Y,BEV,Unknown,,City Of Seattle - (Wa),3,0,0
King,Bellevue,2020,Chevrolet,Bolt Ev,BEV,Eligible,259.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2018,Toyota,Prius Prime (Phev),PHEV,Not Eligible,25.0,City Of Seattle - (Wa),7,1,0
Cowlitz,Kelso,2022,Tesla,Model Y,BEV,Unknown,,Bonneville Power Administration,3,0,0
King,Lake Forest Park,2018,Nissan,Leaf,BEV,Eligible,151.0,City Of Seattle - (Wa),7,1,0
King,Bellevue,2024,Mercedes-Benz,Gle-Class,PHEV,Eligible,48.0,Puget Sound Energy Inc,1,1,0
Clark,La Center,2022,Tesla,Model 3,BEV,Unknown,,Bonneville Power Administration,3,0,0
King,Seattle,2023,Chevrolet,Bolt Ev,BEV,Unknown,,City Of Seattle - (Wa),2,0,0
King,Newcastle,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
